Country,Year,MFN _SimpleAverage ,MFN_ WeightedAverage ,MFN_Total_ Tariff ,MFN_SpecificTariff
Saudi Arabia,2021,8.69,3.15,1217435,5.79
Senegal,2021,9.33,8.59,862040,17.01
"Serbia, FR(Serbia/Montenegro)",2021,8.77,9.33,1261322,3.23
Seychelles,2021,8.49,14.84,375722,24.1
Sierra Leone,2021,8.94,4.02,510289,16.07
Singapore,2021,8.5,4.17,1433606,2.34
Slovak Republic,2021,8.51,12.49,1100032,5.72
Slovenia,2021,8.4,6.8,1174407,5.7
Solomon Islands,2021,10.08,7.43,190317,96.29
Somalia,2021,8.71,10.46,264795,46.75
South Africa,2021,8.59,6.2,1499225,2.65
South Asia,2021,8.5,9.84,1508290,0.68
South Georgia and the South Sa,2021,9.41,7.62,49399,70.7
South Sudan,2021,10.12,3,157279,130.14
Spain,2021,8.59,9.54,1488857,1.94
Special Categories,2021,8.43,3.26,794548,72.97
Sri Lanka,2021,9.35,12.33,1111711,5.23
St. Kitts and Nevis,2021,9.89,8.28,246365,54.54
St. Lucia,2021,10.06,3.22,425765,52.41
St. Vincent and the Grenadines,2021,9.77,7.89,264305,57.07
Sub-Saharan Africa,2021,8.6,5.41,1513840,0.7
Sudan,2021,9.4,6.22,517100,31.82
Suriname,2021,9.88,5.22,484499,28.28
Sweden,2021,8.51,6.82,1361594,3.36
Switzerland,2021,8.44,6.09,1451807,1.52
Syrian Arab Republic,2021,10.87,12.29,584913,14.22
Tajikistan,2021,9.15,5.35,371937,33.26
Tanzania,2021,9.45,7.69,927698,17.75
Thailand,2021,8.6,7.94,1451487,1.81
Togo,2021,9.89,7.2,686367,34.61
Tokelau,2021,9.69,6.92,296320,31.15
Tonga,2021,9.99,12.91,186617,32.55
Trinidad and Tobago,2021,9.58,4.25,833681,20.99
Tunisia,2021,8.79,8.82,1061255,4.68
Turkey,2021,8.59,9.56,1471926,1.26
Turkmenistan,2021,9.49,3.49,292816,45.54
Turks and Caicos Isl.,2021,9.54,10.97,212991,73.32
Tuvalu,2021,8.66,8.31,82199,9.23
Uganda,2021,9.49,9.13,855745,22.2
Ukraine,2021,8.78,8.38,1322534,2.8
United Arab Emirates,2021,8.62,4.8,1461352,2.47
United Kingdom,2021,8.69,6.82,1524631,1.02
United States,2021,8.92,6.18,1532180,0.88
United States Minor Outlying I,2021,8.8,5.03,325017,38.68
Unspecified,2021,8.6,5.5,1477485,3.32
Uruguay,2021,9.15,21.81,796907,10.14
Uzbekistan,2021,9.29,6.71,807406,14.59
Vanuatu,2021,9.41,8.02,172850,73.4
Venezuela,2021,9.35,5.62,582801,23.32
Vietnam,2021,8.7,7.39,1384436,2.11
Wallis and Futura Isl.,2021,7.95,5.2,54688,18.78
Western Sahara,2021,8.11,3.49,28187,144.55
Yemen,2021,11.33,4.53,322344,55.43
Zambia,2021,9.18,4.69,756957,28.52
Zimbabwe,2021,9.78,13.26,612018,21.8
